AccX (g),AccY (g),AccZ (g),GyroX (deg/s),GyroY (deg/s),GyroZ (deg/s),Heel ADC0,MidFoot ADC1,Toe ADC2,LABEL
-1738.3177185792326,157.70818076203997,62.00159511143177,244815.44271829352,319699.4181916308,212883.10223171886,2,167,3043,4
-1726.6684658424542,191.23111340486884,54.48353105530352,253598.9347294033,317532.06976837304,206360.47609451317,2,269,2991,4
-1711.9984036228495,223.28244525363934,46.23180811824418,262060.52195129797,315391.2125234049,200111.31089435975,11,387,2864,4
-1693.9048231546512,253.45693016802298,37.37256098890402,270119.28292165406,313300.263913678,194223.09566045462,4,505,2766,4
-1672.0387447761861,281.3779374795273,28.05077581549026,277697.7011418601,311282.13972179795,188786.02345137185,9,649,2657,4
-1646.1212677945082,306.7178171626989,18.42459505347987,284723.5260564723,309358.71482365753,183892.3516108684,11,750,2582,4
-1615.956396782058,329.23151401409723,8.656292809168509,291133.7855638434,307550.454740736,179634.84798940472,2,950,2423,4
-1581.4407507436106,348.7859465625796,-1.090767835257298,296879.4716211179,305876.34261292097,176105.0466968151,4,1029,2342,4
-1542.562766098249,365.369175357979,-10.642107860585924,301929.05153928424,304354.1438174763,173391.93677854157,4,1173,2259,4
-1499.3888051661493,379.0820388637898,-19.79148150817397,306270.9015052094,303000.71013935487,171580.68153723635,3,1333,2096,4
-1452.0471785532436,390.11978411601416,-28.282640369415194,309914.4246785785,301831.9738990439,170751.36294960105,6,1531,1911,4
-1400.7221577366472,398.74157069704626,-35.80985094206645,312888.8699451605,300862.1498166382,170977.87595464848,4,1643,1784,4
-1345.660400899195,405.22683219022355,-42.0409154034928,315240.08492282993,300101.77555504744,172326.54932489022,0,1742,1687,4
-1287.1852804685363,409.8339870282561,-46.6482333128785,317026.57742168434,299555.19743413985,174854.36596326221,0,1768,1662,4
-1225.7094592393644,412.77513859569206,-49.33536115757704,318315.2423320961,299218.21972977807,178606.537636385,0,1847,1589,4
-1161.7380002707278,414.2029233130316,-49.860997916660914,319176.12291383836,299075.9300115551,183613.07286791276,0,1899,1546,4
-1095.8644520490504,414.2054330767731,-48.059520453709375,319677.1785922085,299101.1079043582,189885.31776186393,0,1944,1506,4
-1028.761688773506,412.81326305641653,-43.85155840832219,319880.42025144154,299254.0106412237,197414.08184494657,0,1994,1458,4
-961.1637114649778,410.0192944314691,-37.246102154653386,319839.20068234095,299483.638011616,206169.70867971933,0,2006,1458,4
